customer_id,first_purchase_date,last_purchase_date,recency_days,frequency,monetary_value,unique_products,active_months,avg_order_value,customer_lifetime_days,r_score,f_score,m_score,rfm_score,customer_segment,churn_risk_label,churn_status
18052,2010-05-24 11:11:00,2010-05-24 11:11:00,565,1,10877.18,16,1,10877.18,0,1,2,5,125,At Risk,1,Inactive / Churn Risk
14028,2010-06-07 12:02:00,2010-06-07 13:33:00,550,3,10396.5,3,1,3465.5,0,1,3,5,135,At Risk,1,Inactive / Churn Risk
18260,2009-12-15 13:50:00,2011-06-20 12:37:00,173,23,9962.11,212,15,433.13521739130437,551,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
17230,2009-12-08 13:41:00,2011-03-20 16:12:00,264,18,9924.95,141,9,551.3861111111112,467,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
12758,2009-12-01 14:40:00,2011-08-15 10:22:00,117,7,9903.24,187,7,1414.7485714285715,621,3,4,5,345,Loyal Customers,1,Inactive / Churn Risk
12590,2011-05-12 14:46:00,2011-05-12 14:52:00,211,2,9864.26,68,1,4932.13,0,2,2,5,225,At Risk,1,Inactive / Churn Risk
14828,2009-12-07 11:19:00,2011-05-27 10:16:00,197,13,9839.460000000001,72,11,756.8815384615385,535,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
17504,2010-02-08 09:22:00,2011-05-17 12:59:00,206,18,9565.12,244,10,531.3955555555556,463,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
14091,2010-01-10 13:41:00,2010-02-23 15:17:00,654,2,9530.08,13,2,4765.04,44,1,2,5,125,At Risk,1,Inactive / Churn Risk
14439,2010-01-21 14:01:00,2011-01-24 11:39:00,320,5,9443.04,105,4,1888.6080000000002,367,2,4,5,245,Cannot Lose Them,1,Inactive / Churn Risk
16550,2009-12-02 11:24:00,2011-08-23 11:12:00,109,18,9435.13,274,15,524.1738888888889,628,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
13162,2009-12-04 13:59:00,2011-08-09 15:59:00,122,16,9275.49,186,13,579.718125,613,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
15260,2009-12-06 11:45:00,2011-08-31 13:55:00,100,25,9188.23,186,16,367.5292,633,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
12755,2010-01-15 11:57:00,2011-03-04 12:42:00,281,11,9030.66,34,7,820.9690909090909,413,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
13715,2010-03-11 15:33:00,2011-03-03 19:21:00,281,17,8483.29,277,11,499.01705882352945,357,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
14160,2010-01-10 12:06:00,2010-04-08 14:30:00,610,7,8421.47,80,4,1203.0671428571427,88,1,4,5,145,Cannot Lose Them,1,Inactive / Churn Risk
13206,2009-12-07 13:48:00,2010-11-04 16:50:00,400,13,8377.32,393,7,644.4092307692307,332,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
12643,2010-04-07 14:16:00,2011-08-03 12:56:00,128,12,8350.42,14,10,695.8683333333333,482,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
13869,2010-01-17 14:53:00,2011-08-08 13:53:00,123,10,8111.57,502,10,811.1569999999999,567,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
17085,2009-12-06 12:16:00,2011-08-08 14:15:00,123,28,7891.41,411,15,281.8360714285714,610,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
15581,2009-12-02 12:19:00,2011-08-11 09:38:00,121,38,7794.59,542,15,205.12078947368423,616,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
17409,2009-12-11 12:17:00,2011-06-08 10:36:00,185,10,7793.51,50,7,779.351,543,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
13082,2009-12-22 15:37:00,2011-08-05 16:16:00,126,21,7335.75,99,14,349.32142857142856,591,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
18231,2010-01-10 12:13:00,2011-05-31 14:18:00,192,28,6880.97,218,13,245.7489285714286,506,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
16456,2010-03-29 11:16:00,2011-09-01 13:50:00,99,13,6862.91,226,11,527.9161538461539,521,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
15413,2009-12-01 10:18:00,2010-01-17 11:33:00,692,5,6798.72,20,2,1359.7440000000001,47,1,4,5,145,Cannot Lose Them,1,Inactive / Churn Risk
14461,2010-01-18 12:48:00,2011-07-14 17:11:00,148,13,6713.5,515,10,516.4230769230769,542,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
13734,2010-04-16 08:42:00,2010-07-19 12:04:00,509,4,6701.640000000001,24,2,1675.4100000000003,94,1,3,5,135,At Risk,1,Inactive / Churn Risk
15332,2010-07-14 13:01:00,2010-12-08 14:43:00,366,6,6553.74,113,3,1092.29,147,2,4,5,245,Cannot Lose Them,1,Inactive / Churn Risk
14855,2010-04-08 10:30:00,2011-08-12 14:02:00,119,7,6520.3,168,5,931.4714285714286,491,3,4,5,345,Loyal Customers,1,Inactive / Churn Risk
14154,2010-01-13 12:47:00,2011-04-14 16:26:00,239,8,6460.7,236,5,807.5875,456,2,4,5,245,Cannot Lose Them,1,Inactive / Churn Risk
15480,2010-02-01 14:52:00,2011-08-15 14:32:00,116,5,6279.0,199,3,1255.8,559,3,4,5,345,Loyal Customers,1,Inactive / Churn Risk
13615,2010-01-28 15:43:00,2011-01-25 08:21:00,319,8,6272.53,259,7,784.06625,361,2,4,5,245,Cannot Lose Them,1,Inactive / Churn Risk
15369,2009-12-08 07:43:00,2010-08-04 13:54:00,492,11,6251.26,44,6,568.2963636363637,239,1,5,5,155,Cannot Lose Them,1,Inactive / Churn Risk
13935,2010-02-25 16:01:00,2010-04-22 11:21:00,597,3,6116.92,67,3,2038.9733333333334,55,1,3,5,135,At Risk,1,Inactive / Churn Risk
18178,2010-02-18 14:25:00,2011-08-03 09:30:00,129,11,6103.74,204,11,554.8854545454545,530,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
12835,2009-12-03 12:13:00,2010-10-08 10:59:00,428,41,6043.31,138,11,147.3978048780488,308,1,5,5,155,Cannot Lose Them,1,Inactive / Churn Risk
15372,2010-02-14 11:24:00,2011-07-25 16:39:00,137,8,6017.06,45,4,752.1325,526,3,4,5,345,Loyal Customers,1,Inactive / Churn Risk
15202,2010-10-15 12:39:00,2010-10-15 13:05:00,420,3,6001.49,1,1,2000.4966666666667,0,1,3,5,135,At Risk,1,Inactive / Churn Risk
14105,2009-12-18 16:57:00,2011-04-14 17:58:00,239,5,5988.83,200,5,1197.766,482,2,4,5,245,Cannot Lose Them,1,Inactive / Churn Risk
17457,2009-12-07 14:52:00,2011-08-05 12:48:00,127,14,5984.8099999999995,30,12,427.4864285714285,605,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
14918,2010-04-08 11:18:00,2011-08-16 11:50:00,116,9,5955.81,79,8,661.7566666666667,495,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
14210,2010-01-06 10:17:00,2011-08-26 12:36:00,106,16,5861.52,143,14,366.345,597,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
17146,2010-02-02 09:39:00,2011-08-26 12:44:00,106,13,5860.24,164,10,450.7876923076923,570,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
13722,2010-03-03 14:13:00,2011-07-31 12:44:00,132,10,5635.41,137,6,563.5409999999999,514,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
16320,2010-01-27 13:29:00,2011-06-20 15:25:00,172,6,5628.99,193,5,938.165,509,3,4,5,345,Loyal Customers,1,Inactive / Churn Risk
14249,2010-01-29 14:21:00,2010-10-25 12:34:00,411,12,5625.461,178,7,468.7884166666667,268,1,5,5,155,Cannot Lose Them,1,Inactive / Churn Risk
16546,2010-09-23 15:43:00,2011-02-22 11:20:00,291,5,5606.47,75,4,1121.294,151,2,4,5,245,Cannot Lose Them,1,Inactive / Churn Risk
13593,2010-03-02 16:36:00,2011-08-23 13:35:00,108,14,5523.6900000000005,212,11,394.54928571428576,538,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
17204,2010-06-10 11:37:00,2011-06-17 14:46:00,175,9,5504.6900000000005,110,7,611.6322222222223,372,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
12378,2010-05-26 14:07:00,2011-08-02 10:34:00,130,2,5416.32,281,2,2708.16,432,3,2,5,325,Potential Loyalists,1,Inactive / Churn Risk
14459,2010-02-26 13:26:00,2011-07-07 13:35:00,155,2,5375.741,113,2,2687.8705,496,3,2,5,325,Potential Loyalists,1,Inactive / Churn Risk
14081,2009-12-10 18:27:00,2011-02-10 16:17:00,302,10,5370.1,465,7,537.01,426,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
14442,2010-01-18 12:59:00,2011-05-19 11:36:00,205,7,5367.0199999999995,128,6,766.7171428571428,485,2,4,5,245,Cannot Lose Them,1,Inactive / Churn Risk
15641,2009-12-06 15:31:00,2011-08-26 14:04:00,105,12,5345.55,249,10,445.46250000000003,627,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
13931,2009-12-03 10:26:00,2011-09-05 10:12:00,96,11,5257.38,205,7,477.94363636363636,640,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
14930,2010-04-12 11:22:00,2011-08-23 10:31:00,109,6,5246.63,213,5,874.4383333333334,497,3,4,5,345,Loyal Customers,1,Inactive / Churn Risk
12422,2009-12-18 12:44:00,2011-09-05 09:48:00,96,17,5231.8,137,11,307.7529411764706,625,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
15812,2009-12-15 13:40:00,2011-08-24 14:19:00,107,12,5201.47,87,12,433.4558333333334,617,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
12510,2009-12-04 13:47:00,2011-07-20 10:15:00,143,9,5178.02,94,7,575.3355555555556,592,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
12625,2010-04-22 11:33:00,2011-05-12 09:54:00,212,4,5164.88,144,4,1291.22,384,2,3,5,235,At Risk,1,Inactive / Churn Risk
16919,2010-08-19 15:28:00,2011-07-06 13:35:00,156,24,5125.91,230,9,213.57958333333332,320,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
17406,2009-12-06 13:45:00,2011-01-10 15:07:00,333,13,4905.05,155,8,377.3115384615385,400,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
13659,2010-02-17 09:05:00,2011-05-18 12:37:00,206,12,4894.88,224,10,407.9066666666667,455,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
15379,2010-11-04 11:59:00,2011-06-23 13:13:00,169,8,4877.84,177,6,609.73,231,3,4,5,345,Loyal Customers,1,Inactive / Churn Risk
12688,2011-08-18 08:49:00,2011-08-18 08:49:00,114,1,4873.8099999999995,171,1,4873.8099999999995,0,3,1,5,315,Potential Loyalists,1,Inactive / Churn Risk
13044,2010-01-08 14:46:00,2011-02-21 15:20:00,291,11,4853.9,356,8,441.26363636363635,409,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
15002,2010-01-12 11:40:00,2011-08-16 10:44:00,116,9,4817.28,220,8,535.2533333333333,580,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
17829,2010-02-22 15:39:00,2011-02-14 12:46:00,299,5,4756.74,121,4,951.348,356,2,4,5,245,Cannot Lose Them,1,Inactive / Churn Risk
13958,2009-12-05 13:12:00,2010-11-25 10:11:00,380,8,4709.2300000000005,172,5,588.6537500000001,354,2,4,5,245,Cannot Lose Them,1,Inactive / Churn Risk
17050,2010-01-26 14:54:00,2011-09-04 13:48:00,96,11,4691.79,193,10,426.5263636363636,585,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
17400,2009-12-17 15:41:00,2011-08-05 15:38:00,126,8,4677.05,345,7,584.63125,595,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
16858,2009-12-15 11:09:00,2010-12-06 09:52:00,369,10,4668.28,75,9,466.828,355,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
